행정구역,2011년_계_총인구수,2011년_계_연령구간인구수,2012년_계_총인구수,2012년_계_연령구간인구수,2013년_계_총인구수,2013년_계_연령구간인구수,2014년_계_총인구수,2014년_계_연령구간인구수,2015년_계_총인구수,2015년_계_연령구간인구수,2016년_계_총인구수,2016년_계_연령구간인구수,2017년_계_총인구수,2017년_계_연령구간인구수,2018년_계_총인구수,2018년_계_연령구간인구수,2019년_계_총인구수,2019년_계_연령구간인구수,2020년_계_총인구수,2020년_계_연령구간인구수
경상북도 김천시,136185,24899,135504,25603,135259,26385,135456,27130,140132,27839,142256,28488,142908,29536,141104,30318,141229,31252,140468,32268
경상북도 안동시,168157,30728,168302,31527,168461,32558,168697,33358,169221,33954,168798,34672,166272,35948,162180,36850,160052,37906,158929,39017
경상북도 구미시,413446,25636,416949,26773,419428,28038,420320,29136,419915,30252,419891,31554,421799,33605,421494,35432,419742,37540,416626,39435
경상북도 영주시,114148,21482,113547,22065,112625,22790,110780,23503,109735,24080,109247,24577,108371,25541,106801,26341,105067,27259,103503,27982
경상북도 영천시,104182,21932,101798,22447,100778,23146,100689,23869,100648,24394,100521,25063,100615,25940,101595,26844,102470,27672,101693,28560
경상북도 상주시,104685,25227,104182,25903,103346,26429,102892,27105,102374,27563,101799,27769,100947,28535,100297,29100,100688,29822,97689,30346
경상북도 문경시,76727,17165,75899,17591,75664,18015,75911,18472,75784,18896,74702,19285,73294,19877,71874,20324,72242,20891,71250,21427
경상북도 경산시,243684,28662,246358,30060,248805,31728,253968,33515,256888,35004,258037,36375,259485,38370,261093,40066,263185,42079,262311,43938
경상북도 군위군,24268,7832,24119,8012,24172,8174,24170,8382,24126,8511,24171,8670,24215,8898,23919,8983,23843,9176,23345,9382
경상북도 의성군,57744,18628,57043,18965,56064,19231,55212,19472,54477,19653,54014,19896,53474,20289,52944,20570,52595,21005,51895,21400
경상북도 청송군,26569,7786,26481,7977,26470,8176,26453,8325,26384,8434,26301,8600,26006,8773,25678,8957,25416,9135,25080,9317
경상북도 영양군,18241,5602,18208,5629,18297,5747,18197,5835,17898,5832,17713,5878,17479,5963,17356,6084,16993,6118,16669,6251
경상북도 영덕군,40794,12029,40257,12186,40142,12419,39586,12639,39191,12743,39052,12897,38529,13141,38108,13287,37361,13458,36592,13692
경상북도 청도군,44298,12501,43968,12797,43788,13169,43993,13615,43724,13899,43564,14274,43346,14779,43057,15172,42910,15541,42432,15973
경상북도 고령군,35455,7953,35343,8136,35198,8360,35033,8537,34594,8717,34257,8889,33768,9253,32969,9380,32373,9648,31394,9827
경상북도 성주군,45640,10729,45127,11009,45067,11369,44981,11697,45029,12013,45205,12398,45138,12839,44672,13142,44015,13477,43231,13869
경상북도 칠곡군,118838,13492,119786,13914,121182,14375,122058,14820,122829,15200,123199,15479,120864,16166,118828,16692,117047,17488,114719,18111
경상북도 예천군,46579,13927,46027,14123,45573,14375,45104,14644,44674,14793,46166,15043,49253,15458,53274,15876,55100,16389,55416,16762
경상북도 봉화군,34192,9737,33934,9971,33894,10190,34023,10425,33808,10551,33539,10706,33259,10946,32843,11040,32150,11222,31637,11514
경상북도 울진군,52045,12173,51844,12218,51953,12447,52104,12593,51885,12654,51738,12665,50974,12854,50036,13073,49314,13356,48806,13586
경상북도 울릉군,10742,1955,10673,2014,10524,2050,10264,2044,10153,2104,10001,2154,9975,2238,9832,2290,9617,2341,9191,2376
경상남도,3308765,399530,3319314,414831,3333820,431645,3350257,449017,3364702,464019,3373871,480278,3380404,504460,3373988,523165,3362553,548257,3343770,573091
경상남도 창원시,1091881,91563,1091471,96199,1083731,101571,1075168,107030,1070064,111795,1063907,117208,1057032,124875,1053601,131613,1044740,140151,1038101,148429
경상남도 창원시 의창구,254419,19123,255394,20098,255816,21350,258250,22699,256471,23784,252435,24846,253349,26708,252896,28327,258582,30631,263271,32657
경상남도 창원시 성산구,247720,10496,246801,10975,242870,11445,238414,12079,234399,12626,231571,13543,227942,14585,227337,15687,220945,16838,215811,18013
경상남도 창원시 마산합포구,186399,24550,185505,25690,183365,27017,182223,28297,181670,29366,181797,30525,181917,32363,180535,33800,177784,35512,174916,37324
경상남도 창원시 마산회원구,223235,20114,221388,21432,219558,22924,214291,24224,211791,25402,210791,26727,203926,28229,199457,29471,193807,31284,191582,33174
경상남도 창원시 진해구,180108,17280,182383,18004,182122,18835,181990,19731,185733,20617,187313,21567,189898,22990,193376,24328,193622,25886,192521,27261
경상남도 진주시,335502,40296,337314,42193,337071,44016,340241,45998,344426,47815,346739,49318,346681,51488,345987,53260,347334,55899,347598,58365
경상남도 통영시,140195,17048,139347,17772,139719,18685,139439,19560,139168,20146,138160,20895,135833,22054,133720,22844,131404,23895,129064,24936
경상남도 사천시,114133,18363,115321,19024,116851,19738,116485,20427,115452,20899,114912,21502,114252,22118,113888,22641,111925,23428,111442,24337
경상남도 김해시,507062,37543,513260,39588,522049,41790,527240,43802,528865,45896,529422,47975,532132,51219,533672,53753,542455,57532,542435,60817
경상남도 밀양시,109329,22018,108755,22721,108342,23527,107765,24163,107896,24796,108354,25611,107898,26719,106744,27561,105552,28549,104932,29580
경상남도 거제시,232787,17009,236944,17710,242077,18470,248287,19366,255828,20073,257183,20932,254073,22240,250516,23456,248276,24892,246231,26378
경상남도 양산시,266403,24253,270460,25896,279565,27927,292376,30225,301291,32386,317037,35131,338535,38921,348639,41664,350759,44631,351874,47599
경상남도 의령군,30045,9174,30329,9274,29417,9273,29209,9407,28544,9451,28111,9450,27849,9630,27667,9584,27168,9689,26839,9881
경상남도 함안군,66971,12369,67425,12675,67667,13013,68741,13354,69156,13749,68937,13964,68207,14443,67025,14825,65700,15354,64438,15945
경상남도 창녕군,62490,15460,62966,15821,63447,16205,63502,16563,63817,16848,63982,17149,64101,17724,63396,18034,62331,18426,61478,18925
경상남도 고성군,57264,13280,56906,13532,56369,13793,55916,14092,55284,14222,54703,14462,54060,14842,53243,15158,52276,15577,51539,16004
경상남도 남해군,50242,15251,48223,15308,47244,15354,46638,15577,45865,15584,45129,15692,44642,15837,43990,15910,43622,15987,42889,16235
경상남도 하동군,53975,13645,50806,13735,50177,13997,49223,14172,50259,14407,49622,14514,48831,14721,47533,14849,46574,15120,45132,15415
경상남도 산청군,35651,10579,35691,10844,35935,11055,35849,11294,36071,11542,36098,11638,36340,11916,35952,12091,35417,12444,34978,12766
경상남도 함양군,41081,11404,40714,11624,40692,11790,40584,11989,40339,12163,40241,12274,40175,12558,40044,12620,39637,12836,39150,13130
경상남도 거창군,63146,14221,63103,14591,63177,14916,63137,15214,63232,15359,63308,15591,62763,15981,62455,16214,62179,16603,61455,16956
경상남도 합천군,50608,16054,50279,16324,50290,16525,50457,16784,49145,16888,48026,16972,47000,17174,45916,17088,45204,17244,44195,17393
제주특별자치도,576156,72580,583713,75925,593806,79305,607346,82411,624395,85893,641597,89189,657083,93117,667191,96207,670989,100397,672948,104872
제주특별자치도 제주시,422790,47741,429656,50099,438165,52369,448834,54534,459876,56914,470665,59159,478700,61653,485946,63813,489405,66690,491446,69823
제주특별자치도 서귀포시,153366,24839,154057,25826,155641,26936,158512,27877,164519,28979,170932,30030,178383,31464,181245,32394,181584,33707,181502,35049
