기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012.2/4	도봉구	365,875	180,749	185,126	41,086	17,931	23,155	41,052	17,917	23,135	34	14	20
2012.2/4	노원구	605,162	296,008	309,154	60,072	24,119	35,953	60,002	24,089	35,913	70	30	40
2012.2/4	은평구	506,167	248,357	257,810	59,020	25,791	33,229	58,886	25,727	33,159	134	64	70
2012.2/4	서대문구	321,481	156,485	164,996	40,933	17,332	23,601	40,591	17,182	23,409	342	150	192
2012.2/4	마포구	396,218	192,060	204,158	43,532	18,480	25,052	43,276	18,369	24,907	256	111	145
2012.2/4	양천구	503,121	250,138	252,983	42,410	17,943	24,467	42,291	17,884	24,407	119	59	60
2012.2/4	강서구	574,994	283,020	291,974	54,178	23,027	31,151	54,013	22,936	31,077	165	91	74
2012.2/4	구로구	458,701	231,620	227,081	43,879	19,849	24,030	43,239	19,564	23,675	640	285	355
2012.2/4	금천구	263,728	135,447	128,281	26,189	11,703	14,486	25,800	11,514	14,286	389	189	200
2012.2/4	영등포구	433,877	218,717	215,160	45,124	20,176	24,948	44,365	19,837	24,528	759	339	420
2012.2/4	동작구	413,563	203,197	210,366	45,813	20,199	25,614	45,628	20,121	25,507	185	78	107
2012.2/4	관악구	545,141	276,155	268,986	54,932	24,755	30,177	54,570	24,602	29,968	362	153	209
2012.2/4	서초구	441,205	213,698	227,507	40,686	18,488	22,198	40,560	18,430	22,130	126	58	68
2012.2/4	강남구	569,048	273,925	295,123	48,663	21,556	27,107	48,512	21,484	27,028	151	72	79
2012.2/4	송파구	689,120	337,419	351,701	57,421	25,262	32,159	57,278	25,198	32,080	143	64	79
2012.2/4	강동구	495,312	247,566	247,746	43,622	18,969	24,653	43,532	18,930	24,602	90	39	51
2012.3/4	합계	10,478,545	5,179,090	5,299,455	1,098,106	478,248	619,858	1,092,672	475,788	616,884	5,434	2,460	2,974
2012.3/4	종로구	174,850	86,871	87,979	23,712	10,348	13,364	23,573	10,277	13,296	139	71	68
2012.3/4	중구	143,089	71,918	71,171	18,967	8,058	10,909	18,775	7,965	10,810	192	93	99
2012.3/4	용산구	256,614	125,401	131,213	32,755	13,719	19,036	32,502	13,576	18,926	253	143	110
2012.3/4	성동구	307,801	153,817	153,984	33,907	14,578	19,329	33,773	14,522	19,251	134	56	78
2012.3/4	광진구	385,874	190,213	195,661	35,380	15,700	19,680	35,162	15,592	19,570	218	108	110
2012.3/4	동대문구	377,467	188,774	188,693	46,338	20,456	25,882	46,163	20,382	25,781	175	74	101
2012.3/4	중랑구	425,101	212,419	212,682	45,916	19,993	25,923	45,843	19,966	25,877	73	27	46
2012.3/4	성북구	492,429	242,031	250,398	57,484	24,794	32,690	57,336	24,728	32,608	148	66	82
2012.3/4	강북구	347,817	171,757	176,060	45,633	20,000	25,633	45,561	19,965	25,596	72	35	37
2012.3/4	도봉구	365,404	180,522	184,882	41,733	18,233	23,500	41,695	18,216	23,479	38	17	21
2012.3/4	노원구	603,521	295,107	308,414	60,672	24,379	36,293	60,602	24,349	36,253	70	30	40
2012.3/4	은평구	506,691	248,494	258,197	59,918	26,193	33,725	59,791	26,131	33,660	127	62	65
2012.3/4	서대문구	321,183	156,242	164,941	41,365	17,541	23,824	41,028	17,390	23,638	337	151	186
